,,,,,,,,,,,Country,Global
1791,Adana,Turkey,21.62,,,1750,8.72,,,1791,19.54333333,8.183333333
1792,Adana,Turkey,18.57,,,1751,7.98,,,1792,18.61,8.283333333
1793,Adana,Turkey,18.44,19.54333333,,1752,5.78,,,1793,18.64666667,8.37
1794,Adana,Turkey,18.82,18.61,,1753,8.39,,,1794,18.75,8.383333333
1795,Adana,Turkey,18.68,18.64666667,,1754,8.47,,,1795,18.83333333,8.376666667
1796,Adana,Turkey,18.75,18.75,,1755,8.36,,,1796,18.97666667,8.483333333
1797,Adana,Turkey,19.07,18.83333333,,1756,8.85,,,1797,19.01333333,8.563333333
1798,Adana,Turkey,19.11,18.97666667,,1757,9.02,,,1798,18.95,8.553333333
1799,Adana,Turkey,18.86,19.01333333,,1758,6.74,,,1799,19.02,8.526666667
1800,Adana,Turkey,18.88,18.95,,1759,7.99,,,1800,19.22,8.55
1801,Adana,Turkey,19.32,19.02,,1760,7.19,,,1801,19.36666667,8.556666667
1802,Adana,Turkey,19.46,19.22,,1761,8.77,,,1802,19.27666667,8.64
1803,Adana,Turkey,19.32,19.36666667,,1762,8.61,,,1803,19.03333333,8.633333333
1804,Adana,Turkey,19.05,19.27666667,,1763,7.5,,,1804,18.91,8.61
1805,Adana,Turkey,18.73,19.03333333,,1764,8.4,,,1805,18.3,8.423333333
1806,Adana,Turkey,18.95,18.91,,1765,8.25,,,1806,18.09333333,8.113333333
1807,Adana,Turkey,17.22,18.3,,1766,8.41,,,1807,17.57,7.663333333
1808,Adana,Turkey,18.11,18.09333333,,1767,8.22,,,1808,17.66,7.21
1809,Adana,Turkey,17.38,17.57,,1768,6.78,,,1809,17.46,6.953333333
1810,Adana,Turkey,17.49,17.66,,1769,7.69,,,1810,17.47,6.943333333
1811,Adana,Turkey,17.51,17.46,,1770,7.69,,,1811,17.6,7.216666667
1812,Adana,Turkey,17.41,17.47,,1771,7.85,,,1812,17.78666667,7.46
1813,Adana,Turkey,17.88,17.6,,1772,8.19,,,1813,17.88333333,7.523333333
1814,Adana,Turkey,18.07,17.78666667,,1773,8.22,,,1814,17.7,7.256666667
1815,Adana,Turkey,17.7,17.88333333,,1774,8.77,,,1815,17.53333333,7.053333333
1816,Adana,Turkey,17.33,17.7,,1775,9.18,,,1816,17.74666667,7.25
1817,Adana,Turkey,17.57,17.53333333,,1776,8.3,,,1817,17.95,7.393333333
